seine_id,survey_id,gather_lat,gather_long,set_time,set_number,set_type,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_notes
DE120N2,DE120,50.34655,-125.45602,8:40:00,2,targeted,25,NA,NA,NA,yes,30,200,0,0,10,300,1,1,6,10,NA,NA,1,SEMSP,NA
DE121N1,DE121,50.30723,-125.33345,12:10:00,1,targeted,47,NA,NA,NA,yes,30,200,2,2,4,4,0,0,1,1,NA,NA,1,SEMSP,NA
DE124N1,DE124,50.3153,-125.05186,7:35:00,1,targeted,0,NA,NA,NA,yes,30,200,0,0,10,40,0,0,0,0,NA,NA,1,SEMSP,NA
DE125N1,DE125,NA,NA,10:23:00,1,targeted,22,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"Set on 1 slider, no catch"
DE128N3,DE128,NA,NA,NA,3,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE128N2,DE128,NA,NA,NA,2,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE128N1,DE128,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE128N4,DE128,50.44466,-125.2804,8:45:00,4,targeted,97,NA,NA,NA,yes,30,200,0,0,5,10,1,1,1,2,NA,NA,1,SEMSP,NA
DE130N1,DE130,50.30795,-125.32452,12:29:00,1,targeted,11,NA,NA,NA,yes,30,40,0,0,10,10,0,0,0,0,NA,NA,1,SEMSP,NA
DE137N1,DE137,50.44941,-125.33027,6:45:00,1,targeted,28,NA,NA,NA,yes,30,30,0,0,5,10,0,0,1,1,NA,NA,1,SEMSP,NA
DE138N1,DE138,NA,NA,9:55:00,1,targeted,33,NA,NA,NA,no,0,0,0,0,0,0,0,6,0,0,NA,NA,NA,SEMSP,"CO = 6 total, released"
DE139N1,DE139,50.30884,-125.32275,11:10:00,1,targeted,10,NA,NA,NA,yes,30,200,0,0,10,10,0,0,3,3,NA,NA,1,SEMSP,NA
DE140N1,DE140,50.10015,-125.27265,10:19:00,1,targeted,36,NA,NA,NA,yes,30,40,0,0,10,200,0,0,0,0,NA,NA,1,SEMSP,NA
DE143N1,DE143,50.31763,-125.04942,6:25:00,1,targeted,5,NA,NA,NA,yes,2,2,1,1,10,60,0,0,0,0,NA,NA,1,SEMSP,NA
DE145N1,DE145,50.06119,-124.87916,9:32:00,1,targeted,22,NA,NA,NA,no,0,0,0,0,0,10,0,10,0,0,NA,NA,NA,SEMSP,NA
DE146N1,DE146,NA,NA,10:49:00,1,targeted,16,NA,NA,NA,no,0,0,0,0,0,6,0,0,0,0,NA,NA,NA,SEMSP,"CU = 6 total, released"
DE148N1,DE148,NA,NA,13:04:00,1,targeted,30,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,bycatch 200 squuid
DE149N1,DE149,50.44527,-125.2774,6:34:00,1,targeted,4,NA,NA,NA,yes,30,800,0,0,0,2,1,1,1,1,NA,NA,1,SEMSP,NA
DE150N2,DE150,NA,NA,NA,2,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE150N1,DE150,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE150N3,DE150,50.34762,-125.45358,9:32:00,3,targeted,35,NA,NA,NA,yes,30,100,1,1,10,200,1,1,1,1,NA,NA,1,SEMSP,NA
DE151N1,DE151,50.30492,-125.33058,12:53:00,1,targeted,5,NA,NA,NA,yes,30,500,0,0,10,100,0,0,3,4,NA,NA,1,SEMSP,NA
DE152N2,DE152,NA,NA,NA,2,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE152N1,DE152,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE152N3,DE152,50.44217,-125.27406,6:42:00,3,targeted,56,NA,NA,NA,yes,30,500,1,1,10,300,0,0,1,2,NA,NA,1,SEMSP,NA
DE153N1,DE153,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE153N2,DE153,50.34851,-125.44831,10:21:00,2,targeted,19,NA,NA,NA,yes,12,15,0,0,10,300,1,1,0,0,NA,NA,1,SEMSP,NA
DE154N1,DE154,50.30759,-125.32969,13:11:00,1,targeted,20,NA,NA,NA,yes,30,40,1,1,10,40,0,0,7,7,NA,NA,1,SEMSP,NA
DE155N1,DE155,50.31954,-125.04247,6:23:00,1,targeted,13,NA,NA,NA,yes,29,60,0,0,2,2,0,0,0,0,NA,NA,1,SEMSP,NA
DE158N1,DE158,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE158N2,DE158,50.07966,-125.24845,11:32:00,2,targeted,27,NA,NA,NA,yes,15,40,4,20,3,20,0,0,0,0,NA,NA,1,SEMSP,NA
DE160N1,DE160,50.44342,-125.27904,7:00:00,1,targeted,19,NA,NA,NA,yes,22,25,3,5,10,600,0,0,1,3,NA,NA,1,SEMSP,NA
DE162N1,DE162,50.30771,-125.32864,10:59:00,1,targeted,15,NA,NA,NA,yes,30,100,0,0,10,200,1,4,1,1,NA,NA,1,SEMSP,NA
DE163N1,DE163,50.19112,-125.14202,14:00:00,1,targeted,9,NA,NA,NA,yes,13,13,0,0,10,100,0,0,0,1,NA,NA,1,SEMSP,NA
DE164N1,DE164,NA,NA,10:06:00,1,targeted,22,NA,NA,NA,no,0,0,0,0,0,100,0,1,0,0,NA,NA,NA,SEMSP,"CU = 100 total, CO = 1 total, released"
DE168N1,DE168,50.30812,-125.3269,10:51:00,1,targeted,5,NA,NA,NA,yes,30,40,1,1,10,10,0,0,1,1,NA,NA,1,SEMSP,NA
DE169N1,DE169,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE169N2,DE169,50.1915,-125.14292,14:13:00,2,targeted,17,NA,NA,NA,yes,30,30,6,6,10,70,0,0,0,0,NA,NA,1,SEMSP,NA
DE170N1,DE170,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE170N2,DE170,50.30734,-125.33514,6:34:00,2,targeted,30,NA,NA,NA,yes,27,27,1,1,10,100,0,0,3,3,NA,NA,1,SEMSP,Net collapse first set
DE171N1,DE171,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE171N2,DE171,NA,NA,10:20:00,2,targeted,27,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"First set 40 chum, second set 0 fish."
DE173N1,DE173,50.19077,-125.14249,13:22:00,1,targeted,8,NA,NA,NA,yes,30,200,2,2,10,100,5,7,0,1,NA,NA,1,SEMSP,11 sockeye taken for DFO 6 frozen 5 formalin
DE174N1,DE174,50.30806,-125.32972,9:20:00,1,targeted,3,NA,NA,NA,yes,30,100,1,1,10,100,0,0,5,5,NA,NA,1,SEMSP,Samples marked D09(2). Initial set removed due to potential bias from snag on bottom.
DE175N1,DE175,50.19017,-125.14437,12:05:00,1,targeted,17,NA,NA,NA,yes,1,1,3,3,10,25,10,20,0,0,NA,NA,1,SEMSP,NA
DE179N1,DE179,NA,NA,11:30:00,1,targeted,21,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE182N1,DE182,50.19051,-125.1444,14:29:00,1,targeted,10,NA,NA,NA,yes,22,23,3,3,10,100,5,6,0,0,NA,NA,1,SEMSP,Fish with lesions SO # 10
DE183N1,DE183,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE183N2,DE183,50.30767,-125.33023,7:30:00,2,targeted,31,NA,NA,NA,yes,26,26,1,1,10,200,0,0,2,2,NA,NA,1,SEMSP,SO 2 and 26 had lesions on dorasl surface of body. SO 4 had hemorrhaging gills. HE 1 had hem. fins.
DE184N1,DE184,50.34741,-125.45333,10:58:00,1,targeted,17,NA,NA,NA,yes,30,600,2,10,10,400,1,1,0,0,NA,NA,1,SEMSP,NA
DE185N1,DE185,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE185N2,DE185,NA,NA,13:56:00,2,targeted,33,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE186N1,DE186,NA,NA,7:50:00,1,targeted,54,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE189N1,DE189,NA,NA,12:21:00,1,targeted,44,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE190N1,DE190,NA,NA,1:50:00,1,targeted,28,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE192N2,DE192,NA,NA,NA,2,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE192N1,DE192,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE192N3,DE192,50.34866,-125.44482,9:41:00,3,targeted,48,NA,NA,NA,yes,30,200,1,1,10,100,1,1,0,1,NA,NA,1,SEMSP,NA
DE193N1,DE193,NA,NA,15:44:00,1,targeted,15,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE194N1,DE194,50.32119,-125.03856,11:02:00,1,targeted,36,NA,NA,NA,yes,12,13,0,0,10,18,2,2,1,1,NA,NA,1,SEMSP,NA
DE195N1,DE195,NA,NA,14:12:00,1,targeted,38,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE198N1,DE198,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE198N2,DE198,50.34829,-125.45001,8:05:00,2,targeted,14,NA,NA,NA,yes,30,200,0,0,10,200,1,1,6,20,NA,NA,1,SEMSP,"Herring not numbered in order, Lesions: SO 28 ( also hem on pectrol fin)"
DE199N1,DE199,50.30819,-125.32694,11:16:00,1,targeted,2,NA,NA,NA,yes,30,50,0,0,10,50,0,0,10,10,NA,NA,1,SEMSP,NA
DE201N1,DE201,50.09809,-125.27142,10:14:00,1,targeted,30,NA,NA,NA,yes,5,6,0,0,10,300,0,0,1,1,NA,NA,1,SEMSP,NA
DE205N1,DE205,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE205N2,DE205,50.34758,-125.4553,9:33:00,2,targeted,32,NA,NA,NA,yes,3,3,2,2,10,44,0,0,0,0,NA,NA,1,SEMSP,NA
DE206N1,DE206,50.30597,-125.33588,12:29:00,1,targeted,34,NA,NA,NA,yes,30,200,0,0,10,80,2,2,10,10,NA,NA,1,SEMSP,NA
DE207N1,DE207,NA,NA,7:00:00,1,targeted,38,NA,NA,NA,no,0,0,0,0,0,14,0,1,0,0,NA,NA,NA,SEMSP,"No sockeye in set. coho =1, chum=14, released"
DE212N1,DE212,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE212N2,DE212,50.44949,-125.32427,7:13:00,2,targeted,67,NA,NA,NA,yes,30,60,0,0,10,200,0,0,0,0,NA,NA,1,SEMSP,NA
DE213N1,DE213,NA,NA,11:06:00,1,targeted,52,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE214N1,DE214,50,-125,12:27:00,1,targeted,8,NA,NA,NA,yes,29,100,7,7,10,300,0,0,4,4,NA,NA,1,SEMSP,NA
DE216N1,DE216,NA,NA,7:14:00,1,targeted,25,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE217N1,DE217,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE217N2,DE217,50.10264,-125.27585,8:32:00,2,targeted,53,NA,NA,NA,yes,6,6,4,10,10,2000,0,0,1,5,NA,NA,1,SEMSP,NA
DE218N1,DE218,50.44045,-125.27069,7:05:00,1,targeted,10,NA,NA,NA,yes,7,7,0,0,10,40,1,1,1,1,NA,NA,1,SEMSP,NA
DE219N1,DE219,50.34969,-125.44451,8:58:00,1,targeted,12,NA,NA,NA,yes,9,9,10,300,10,500,0,0,0,0,NA,NA,1,SEMSP,NA
DE220N1,DE220,50.30698,-125.3259,11:07:00,1,targeted,2,NA,NA,NA,yes,30,240,0,0,5,5,1,1,0,0,NA,NA,1,SEMSP,NA
DE221N1,DE221,50.30702,-125.33509,9:22:00,1,targeted,18,NA,NA,NA,yes,19,20,10,20,10,30,0,0,0,0,NA,NA,1,SEMSP,NA
DE224N1,DE224,NA,NA,6:48:00,1,targeted,59,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE225N1,DE225,50.34844,-125.44666,8:17:00,1,targeted,8,NA,NA,NA,yes,30,50,0,0,10,200,0,0,0,0,NA,NA,1,SEMSP,NA
DE226N1,DE226,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE226N2,DE226,50.30764,-125.33348,10:52:00,2,targeted,46,NA,NA,NA,yes,8,8,2,2,10,80,0,0,0,0,NA,NA,1,SEMSP,NA
DE231N1,DE231,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE231N2,DE231,50.30377,-125.33768,9:47:00,2,targeted,20,NA,NA,NA,yes,30,60,7,8,10,200,0,0,10,20,NA,NA,1,SEMSP,NA
DE234N1,DE234,50.34874,-125.44617,13:30:00,1,targeted,10,NA,NA,NA,yes,1,1,10,20,10,100,0,0,0,0,NA,NA,1,SEMSP,NA
DE236N1,DE236,50.30641,-125.31584,6:56:00,1,targeted,0,NA,NA,NA,yes,4,4,0,0,10,50,0,0,7,7,NA,NA,1,SEMSP,NA
DE237N1,DE237,50.34825,-125.44895,8:43:00,1,targeted,8,NA,NA,NA,yes,23,23,10,100,10,400,0,0,0,0,NA,NA,1,SEMSP,NA
DE238N1,DE238,50.34797,-125.45584,11:46:00,1,targeted,11,NA,NA,NA,yes,17,18,10,50,10,500,0,0,0,0,NA,NA,1,SEMSP,NA
DE239N1,DE239,NA,NA,NA,1,targeted,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate
DE239N2,DE239,50.3079,-125.32955,14:13:00,2,targeted,18,NA,NA,NA,yes,5,5,10,100,10,100,0,0,3,3,NA,NA,1,SEMSP,NA
DE240N1,DE240,50.30717,-125.33303,6:50:00,1,targeted,16,NA,NA,NA,yes,30,200,1,1,8,10,0,0,0,0,NA,NA,1,SEMSP,Sockeye very small
DE241N1,DE241,50.34811,-125.454,9:33:00,1,targeted,26,NA,NA,NA,yes,5,5,10,200,10,300,0,0,1,1,NA,NA,1,SEMSP,72 training fish taken recorded as morts
DE245N2,DE245,50.318037,-125.049415,7:40:00,2,targeted,92,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"No fish caught in either set. Fish surface activity: rapid splashing as of many fish. Visual on several: small <7cm, some distinct popping also."
DE245N1,DE245,50.318037,-125.049415,7:25:00,1,targeted,92,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"No fish caught in either set. Fish surface activity: rapid splashing as of many fish. Visual on several: small <7cm, some distinct popping also. No specific set activity recorded for second set."
DE255N2,DE255,50.023957,-124.914675,8:03:00,2,targeted,10,NA,NA,NA,yes,31,400,10,20,10,20,0,0,9,9,NA,NA,1,SEMSP,Saw fish immediately upon site arrival
DE255N1,DE255,50.023957,-124.914675,7:28:00,1,targeted,15,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,Saw fish immediately upon site arrival
DE258N1,DE258,49.9865,-125.162953,14:00:00,1,targeted,12,NA,NA,NA,yes,30,60,3,3,1,1,2,2,0,0,NA,NA,1,SEMSP,mortality: 1 unidentified juvenile salmon
DE259N1,DE259,50.237386,-125.12002,6:25:00,1,targeted,10,NA,NA,NA,yes,30,200,1,1,1,1,0,0,10,11,NA,NA,1,SEMSP,NA
DE260N1,DE260,50.32113,-125.040588,10:35:00,1,targeted,35,NA,NA,NA,yes,2,2,3,3,0,0,1,1,9,9,NA,NA,1,SEMSP,NA
DE261N1,DE261,50.19304,-125.136573,13:01:00,1,targeted,4,NA,NA,NA,yes,30,100,2,2,3,3,1,1,10,16,NA,NA,1,SEMSP,NA
DE262N1,DE262,50.287179,-125.33416,7:40:00,1,targeted,71,NA,NA,NA,no,0,0,0,0,0,1,0,2,0,0,NA,NA,NA,SEMSP,NA
DE263N1,DE263,50.243454,-125.398108,9:50:00,1,targeted,16,NA,NA,NA,yes,30,700,10,20,10,30,2,2,10,30,NA,NA,1,SEMSP,NA
DE264N2,DE264,50.208559,-125.355064,14:20:00,2,targeted,13,NA,NA,NA,no,0,2,0,9,0,9,0,1,0,0,NA,NA,NA,SEMSP,Released fish due to more fish in the area.
DE264N1,DE264,50.208559,-125.355064,13:40:00,1,targeted,20,NA,NA,NA,no,0,1000,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,Released fish due to abrasion on net.
DE267N1,DE267,50.393263,-125.373514,9:50:00,1,targeted,38,NA,NA,NA,yes,30,500,0,0,3,6,0,1,6,9,NA,NA,1,SEMSP,"Had to end sampling to prevent drifting onto rocks. (Could not sample more CU, HE, or CO)"
DE269N2,DE269,50.020465,-124.917743,6:58:00,2,targeted,22,NA,NA,NA,yes,30,200,3,3,5,10,0,0,0,0,NA,NA,1,SEMSP,"First set 06:20 mostly chum fry. Set on dimpling 2 and a single slider event(1) resume search 06:48, second set 06:58-targeted set."
DE269N1,DE269,50.020465,-124.917743,6:20:00,1,targeted,22,NA,NA,NA,no,0,2,0,0,0,50,0,0,0,0,NA,NA,NA,SEMSP,"First set 06:20 mostly chum fry. Set on dimpling 2 and a single slider event(1) resume search 06:48, second set 06:58-targeted set."
DE272N1,DE272,49.990151,-125.160818,13:15:00,1,targeted,27,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,set surface activity only recorded once. Unclear which set its for.
DE272N2,DE272,49.990151,-125.160818,12:51:00,2,targeted,27,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,Resume search 13:05 after first set.
DE274N1,DE274,50.319977,-125.042165,6:56:00,1,targeted,25,NA,NA,NA,yes,30,100,3,3,8,8,1,1,0,0,NA,NA,1,SEMSP,NA
DE275N1,DE275,50.241361,-125.119113,10:52:00,1,targeted,10,NA,NA,NA,yes,30,600,10,20,10,20,1,1,0,0,NA,NA,1,SEMSP,morst in MS222 waste by accident
DE276N1,DE276,50.191099,-125.138578,14:10:00,1,targeted,7,NA,NA,NA,yes,30,100,10,70,10,70,0,0,0,0,NA,NA,1,SEMSP,NA
DE277N1,DE277,50.30908,-125.325703,6:30:00,1,targeted,4,NA,NA,NA,yes,30,600,10,40,10,40,1,1,0,0,NA,NA,1,SEMSP,Coho neglected and in dry shipper.
DE278N1,DE278,50.274701,-125.377445,9:30:00,1,targeted,19,NA,NA,NA,yes,30,600,10,100,10,100,0,0,4,4,NA,NA,1,SEMSP,NA
DE279N2,DE279,50.224106,-125.395004,13:25:00,2,targeted,45,NA,NA,NA,yes,30,600,10,60,10,60,7,7,3,3,NA,NA,1,SEMSP,NA
DE279N1,DE279,50.224106,-125.395004,13:00:00,1,targeted,45,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,First set originally not entered due to no fish in catch. Set surface activity was not recorded for first set.
DE282N1,DE282,50.392115,-125.374782,8:44:00,1,targeted,33,NA,NA,NA,yes,30,500,4,4,4,7,2,3,0,0,NA,NA,1,SEMSP,NA
DE284N2,DE284,50.3175,-125.050736,7:52:00,2,targeted,42,NA,NA,NA,no,0,2,0,40,0,20,0,2,0,0,NA,NA,NA,SEMSP,NA
DE284N1,DE284,50.3175,-125.050736,7:13:00,1,targeted,42,NA,NA,NA,no,0,3,0,1,0,9,0,1,0,0,NA,NA,NA,SEMSP,NA
DE287N1,DE287,50.190737,-125.143169,11:06:00,1,targeted,5,NA,NA,NA,yes,30,600,10,80,10,80,0,0,0,0,NA,NA,1,SEMSP,NA
DE288N1,DE288,50.243773,-125.397476,7:00:00,1,targeted,9,NA,NA,NA,yes,30,400,10,40,8,20,0,0,0,1,NA,NA,1,SEMSP,NA
DE290N2,DE290,50.304166,-125.333511,12:32:00,2,targeted,5,NA,NA,NA,yes,30,200,9,9,10,13,0,0,4,4,NA,NA,1,SEMSP,NA
DE290N1,DE290,50.304166,-125.333511,11:30:00,1,targeted,5,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,SEMSP,"Caught net on bottom, abandoned set to free net."
DE292N1,DE292,50.308769,-125.326765,7:47:00,1,targeted,0,NA,NA,NA,yes,30,200,3,3,10,60,0,0,0,0,NA,NA,1,SEMSP,NA
DE293N1,DE293,50.274055,-125.328828,10:50:00,1,targeted,0,NA,NA,NA,yes,30,1000,10,100,10,100,1,2,10,13,NA,NA,1,SEMSP,NA
